Type,Start,End,Duration,Extra,Extra2,Note
Measure,27/6/2017 12:00,,0:00,Weight: 9.4375 lb,,Swedish Lytle Center
Diaper,27/6/2017 12:00,,0:00,Urine,,
Sleep,27/6/2017 11:50,,0:00,,,
Sleep,27/6/2017 11:29,27/6/2017 11:38,0:09,,,
Diaper,27/6/2017 10:58,,0:00,"Urine, Feces",,
Bottle feeding,27/6/2017 10:50,,0:00,1.0 oz,Mom's milk,
Pumping,27/6/2017 09:26,,0:00,3.62 oz,,107 ml. 53L + 54R
Sleep,27/6/2017 09:23,27/6/2017 10:45,1:21,,,
Sleep,27/6/2017 09:18,,0:00,,,
Bottle feeding,27/6/2017 09:04,,0:00,1.5 oz,Mom's milk,2.5
Diaper,27/6/2017 08:53,,0:00,"Urine, Feces",,
Bottle feeding,27/6/2017 08:27,,0:00,1.2 oz,Mom's milk,
Sleep,27/6/2017 05:40,27/6/2017 08:28,2:48,,,
Diaper,27/6/2017 05:20,,0:00,Urine,,
Pumping,27/6/2017 05:13,,0:00,3.89 oz,,115 ml. 57L + 58R
Bottle feeding,27/6/2017 05:05,,0:00,2.8 oz,Mom's milk,4
Sleep,26/6/2017 22:47,27/6/2017 04:59,6:12,,,
Pumping,26/6/2017 22:27,,0:00,1.15 oz,,34 ml. 16L + 18R
Diaper,26/6/2017 22:17,,0:00,"Urine, Feces",,
Bottle feeding,26/6/2017 22:03,,0:00,1.2 oz,Mom's milk,2
Right breast,26/6/2017 21:40,26/6/2017 21:49,0:08,,,
Sleep,26/6/2017 21:13,26/6/2017 21:48,0:34,,,
Left breast,26/6/2017 21:05,26/6/2017 21:17,0:10,,,sleep eating after 5 min
Bottle feeding,26/6/2017 20:43,,0:00,1.0 oz,Mom's milk,
Left breast,26/6/2017 20:39,26/6/2017 20:40,0:00,,,
Right breast,26/6/2017 20:31,26/6/2017 20:38,0:06,,,
Left breast,26/6/2017 20:26,26/6/2017 20:29,0:03,,,
Diaper,26/6/2017 20:18,,0:00,"Urine, Feces",,
Sleep,26/6/2017 19:45,26/6/2017 20:08,0:23,,,
Diaper,26/6/2017 19:00,,0:00,"Urine, Feces",,
Pumping,26/6/2017 18:52,,0:00,1.79 oz,,53 ml. 25L + 28R
Bottle feeding,26/6/2017 18:09,,0:00,2.0 oz,Mom's milk,3
Right breast,26/6/2017 17:56,26/6/2017 18:02,0:06,,,
Sleep,26/6/2017 17:14,26/6/2017 17:35,0:21,,,
Left breast,26/6/2017 17:13,26/6/2017 17:29,0:15,,,
Bottle feeding,26/6/2017 17:08,,0:00,1.3 oz,Mom's milk,
Diaper,26/6/2017 16:42,,0:00,"Urine, Feces",,
Bottle feeding,26/6/2017 15:56,,0:00,1.7 oz,Mom's milk,drooled milk out a lot
Pumping,26/6/2017 15:36,,0:00,1.45 oz,,43 ml. 20L + 23R
Bottle feeding,26/6/2017 15:29,,0:00,,Mom's milk,3
Right breast,26/6/2017 15:16,26/6/2017 15:23,0:05,,,
Diaper,26/6/2017 14:59,,0:00,"Urine, Feces",,
Left breast,26/6/2017 14:48,26/6/2017 14:53,0:05,,,
Sleep,26/6/2017 12:58,26/6/2017 14:46,1:48,,,
Right breast,26/6/2017 12:57,26/6/2017 13:12,0:15,,,sleep eating
Left breast,26/6/2017 12:54,26/6/2017 12:56,0:01,,,
Bottle feeding,26/6/2017 12:42,,0:00,2.5 oz,Mom's milk,2.5
Bottle feeding,26/6/2017 12:37,,0:00,0.5 oz,Mom's milk,
Left breast,26/6/2017 12:28,26/6/2017 12:29,0:01,,,
Right breast,26/6/2017 12:18,26/6/2017 12:27,0:06,,,
Left breast,26/6/2017 12:13,26/6/2017 12:17,0:03,,,
Diaper,26/6/2017 12:07,,0:00,Urine,,
Vaccination,26/6/2017 11:31,26/6/2017 11:32,0:00,,,
Pumping,26/6/2017 09:57,,0:00,4.36 oz,,129 ml. 66L + 63R
Sleep,26/6/2017 09:54,26/6/2017 11:22,1:27,,,
Bottle feeding,26/6/2017 09:34,,0:00,1.5 oz,Mom's milk,2
Diaper,26/6/2017 09:20,,0:00,"Urine, Feces",,
Bottle feeding,26/6/2017 09:05,,0:00,2.0 oz,Mom's milk,
Sleep,26/6/2017 04:59,26/6/2017 09:05,4:06,,,
Diaper,26/6/2017 04:35,,0:00,Urine,,
Pumping,26/6/2017 04:28,,0:00,3.58 oz,,106 ml. 53L + 53R
Bottle feeding,26/6/2017 04:25,,0:00,2.0 oz,Mom's milk,4
Sleep,25/6/2017 22:45,26/6/2017 04:18,5:33,,,
Sleep,25/6/2017 22:45,25/6/2017 23:01,0:16,,,
Pumping,25/6/2017 22:36,,0:00,2.0 oz,,60ml. 32L + 28R
Bottle feeding,25/6/2017 22:08,,0:00,0.9 oz,Mom's milk,1
Diaper,25/6/2017 22:05,,0:00,Urine,,
Bottle feeding,25/6/2017 21:43,,0:00,2.5 oz,Mom's milk,2.5
Left breast,25/6/2017 21:36,25/6/2017 21:36,0:00,,,
Bottle feeding,25/6/2017 21:32,,0:00,0.3 oz,Mom's milk,
Left breast,25/6/2017 21:28,25/6/2017 21:32,0:03,,,
Right breast,25/6/2017 21:19,25/6/2017 21:28,0:07,,,
Pumping,25/6/2017 19:11,,0:00,2.2 oz,,65 ml. 35L + 30R
Sleep,25/6/2017 18:56,25/6/2017 21:16,2:19,,,
Bottle feeding,25/6/2017 18:17,,0:00,2.7 oz,Mom's milk,3
Diaper,25/6/2017 17:18,,0:00,Urine,,
Right breast,25/6/2017 17:12,25/6/2017 17:17,0:03,,,
Left breast,25/6/2017 16:43,25/6/2017 16:58,0:15,,,sleep eating
Right breast,25/6/2017 16:14,25/6/2017 16:31,0:16,,,
Sleep,25/6/2017 16:00,25/6/2017 17:15,1:05,,,
Left breast,25/6/2017 15:58,25/6/2017 16:13,0:15,,,sleep eating
Sleep,25/6/2017 15:21,25/6/2017 15:56,0:35,,,
Bottle feeding,25/6/2017 14:28,,0:00,2.5 oz,Mom's milk,2.5
Pumping,25/6/2017 14:10,,0:00,1.15 oz,,34 ml. 19L + 15R
Right breast,25/6/2017 13:49,25/6/2017 14:05,0:15,,,sleep eating
Sleep,25/6/2017 13:35,25/6/2017 14:06,0:28,,,
Left breast,25/6/2017 13:34,25/6/2017 13:49,0:15,,,sleep eating
Diaper,25/6/2017 13:00,,0:00,"Urine, Feces",,
Diaper,25/6/2017 11:51,,0:00,Urine,,
Sleep,25/6/2017 11:28,25/6/2017 11:44,0:16,,,
Right breast,25/6/2017 11:20,25/6/2017 11:38,0:15,,,sleep eating after 5
Left breast,25/6/2017 11:11,25/6/2017 11:19,0:05,,,
Left breast,25/6/2017 11:02,25/6/2017 11:02,0:00,,,
Bottle feeding,25/6/2017 10:27,,0:00,1.5 oz,Mom's milk,1.5
Diaper,25/6/2017 10:25,,0:00,Urine,,
Bottle feeding,25/6/2017 10:15,,0:00,1.8 oz,Mom's milk,
Pumping,25/6/2017 10:03,,0:00,3.01 oz,,89 ml. 49L + 40R
Sleep,25/6/2017 09:20,25/6/2017 10:15,0:55,,,
Sleep,25/6/2017 07:10,25/6/2017 09:16,2:06,,,
Diaper,25/6/2017 06:55,,0:00,Urine,,
Pumping,25/6/2017 06:47,,0:00,4.87 oz,,144 ml.  72L + 72R
Bottle feeding,25/6/2017 06:43,,0:00,2.2 oz,Mom's milk,
Pumping,24/6/2017 23:12,,0:00,1.86 oz,,55 ml. 28L + 27R
Sleep,24/6/2017 23:02,25/6/2017 06:36,7:34,,,
Diaper,24/6/2017 23:00,,0:00,"Urine, Feces",,
Diaper,24/6/2017 22:30,,0:00,"Urine, Feces",,
Bottle feeding,24/6/2017 22:23,,0:00,1.2 oz,Mom's milk,3
Bottle feeding,24/6/2017 22:10,,0:00,0.3 oz,Mom's milk,
Left breast,24/6/2017 21:55,24/6/2017 21:59,0:03,,,
Right breast,24/6/2017 21:42,24/6/2017 21:54,0:10,,,
Left breast,24/6/2017 21:30,24/6/2017 21:39,0:05,,,
Diaper,24/6/2017 21:15,,0:00,Urine,,
Sleep,24/6/2017 20:50,24/6/2017 21:26,0:17,,,
Diaper,24/6/2017 19:58,,0:00,"Urine, Feces",,
Sleep,24/6/2017 19:41,24/6/2017 19:51,0:10,,,
Bottle feeding,24/6/2017 19:21,,0:00,2.7 oz,Mom's milk,3
Pumping,24/6/2017 18:33,,0:00,1.83 oz,,54 ml. 29L + 25R
Right breast,24/6/2017 17:53,24/6/2017 18:09,0:16,,,
Right breast,24/6/2017 17:52,,0:00,,,
Sleep,24/6/2017 16:55,24/6/2017 18:28,1:30,,,
Left breast,24/6/2017 16:45,24/6/2017 17:05,0:15,,,
Right breast,24/6/2017 16:28,24/6/2017 16:44,0:06,,,
Diaper,24/6/2017 15:57,,0:00,"Urine, Feces",,
Bottle feeding,24/6/2017 15:40,,0:00,1.8 oz,Mom's milk,
Pumping,24/6/2017 15:08,,0:00,1.96 oz,,58 ml. 29L + 29R
Sleep,24/6/2017 14:55,24/6/2017 15:30,0:32,,,
Bottle feeding,24/6/2017 14:43,,0:00,1.2 oz,Mom's milk,3
Right breast,24/6/2017 14:26,24/6/2017 14:38,0:04,,,
Sleep,24/6/2017 14:07,24/6/2017 14:16,0:09,,,
Left breast,24/6/2017 14:00,24/6/2017 14:16,0:15,,,
Sleep,24/6/2017 12:26,24/6/2017 13:33,1:07,,,
Diaper,24/6/2017 11:55,,0:00,"Urine, Feces",,
Left breast,24/6/2017 11:37,24/6/2017 11:38,0:01,,,
Sleep,24/6/2017 11:13,24/6/2017 11:38,0:24,,,
Right breast,24/6/2017 11:12,24/6/2017 11:28,0:15,,,sleep eating
Bottle feeding,24/6/2017 11:07,,0:00,0.7 oz,Mom's milk,
Right breast,24/6/2017 10:59,24/6/2017 10:59,0:00,,,
Right breast,24/6/2017 10:58,24/6/2017 10:58,0:00,,,
Left breast,24/6/2017 10:48,24/6/2017 10:53,0:03,,,
Diaper,24/6/2017 10:20,,0:00,"Urine, Feces",,
Diaper,24/6/2017 09:51,,0:00,Urine,,
Pumping,24/6/2017 09:25,,0:00,3.58 oz,,106 ml. 54L + 52R
Sleep,24/6/2017 09:25,24/6/2017 09:50,0:25,,,
Bottle feeding,24/6/2017 09:21,,0:00,3.3 oz,Mom's milk,4
Bottle feeding,24/6/2017 09:18,,0:00,0.3 oz,Mom's milk,
Sleep,24/6/2017 04:20,24/6/2017 09:13,4:53,,,
Pumping,24/6/2017 04:00,,0:00,3.82 oz,,113 ml. 57L + 56R
Bottle feeding,24/6/2017 04:00,,0:00,1.8 oz,Mom's milk,2.1
Diaper,24/6/2017 04:00,,0:00,"Urine, Feces",,
Bottle feeding,24/6/2017 03:47,,0:00,1.7 oz,Mom's milk,
Pumping,23/6/2017 22:49,,0:00,1.96 oz,,58 ml. 25L + 33R
Sleep,23/6/2017 22:10,24/6/2017 03:42,5:32,,,
Diaper,23/6/2017 21:56,,0:00,Urine,,
Bottle feeding,23/6/2017 21:51,,0:00,0.8 oz,Mom's milk,2.5
Bottle feeding,23/6/2017 21:50,,0:00,0.3 oz,Mom's milk,
Left breast,23/6/2017 21:37,23/6/2017 21:42,0:04,,,
Right breast,23/6/2017 21:30,23/6/2017 21:35,0:02,,,
Vaccination,23/6/2017 20:54,23/6/2017 20:55,0:00,,,
Sleep,23/6/2017 19:34,23/6/2017 20:05,0:30,,,
Diaper,23/6/2017 19:07,,0:00,"Urine, Feces",,
Pumping,23/6/2017 17:49,,0:00,1.79 oz,,53 ml.  24L + 29R
Bottle feeding,23/6/2017 17:43,,0:00,2.7 oz,Mom's milk,3
Left breast,23/6/2017 17:17,23/6/2017 17:24,0:07,,,
Left breast,23/6/2017 17:16,23/6/2017 17:19,0:02,,,
Right breast,23/6/2017 17:03,23/6/2017 17:09,0:05,,,
Diaper,23/6/2017 16:55,,0:00,"Urine, Feces",,
Left breast,23/6/2017 15:26,23/6/2017 15:41,0:15,,,sleep eating
Sleep,23/6/2017 14:20,23/6/2017 16:48,2:28,,,
Left breast,23/6/2017 14:19,23/6/2017 14:26,0:07,,,
Right breast,23/6/2017 14:14,23/6/2017 14:18,0:03,,,
Sleep,23/6/2017 13:13,23/6/2017 14:14,1:00,,,
Right breast,23/6/2017 13:11,23/6/2017 13:26,0:15,,,sleep eating after 3 min
Diaper,23/6/2017 12:45,,0:00,"Urine, Feces",,
Right breast,23/6/2017 12:37,23/6/2017 12:39,0:02,,,
Sleep,23/6/2017 12:04,23/6/2017 12:07,0:02,,,
Bottle feeding,23/6/2017 11:27,,0:00,3.1 oz,Mom's milk,3.1
Pumping,23/6/2017 11:00,,0:00,1.5 oz,,45 ml. 18L + 27R
Right breast,23/6/2017 10:44,23/6/2017 10:53,0:03,,,
Right breast,23/6/2017 10:33,23/6/2017 10:33,0:00,,,
Left breast,23/6/2017 10:20,23/6/2017 10:28,0:07,,,
Diaper,23/6/2017 10:11,,0:00,Urine,,
Pumping,23/6/2017 07:13,,0:00,4.13 oz,,122 ml. 67L + 55R
Sleep,23/6/2017 07:08,23/6/2017 10:01,2:52,,,
Right breast,23/6/2017 07:07,23/6/2017 07:09,0:02,,,
Right breast,23/6/2017 06:42,23/6/2017 06:47,0:04,,,
Diaper,23/6/2017 06:10,,0:00,Urine,,
Bottle feeding,23/6/2017 06:01,,0:00,3.5 oz,Mom's milk,3.5
Sleep,22/6/2017 22:57,23/6/2017 05:52,6:54,,,
Pumping,22/6/2017 22:56,,0:00,1.96 oz,,58 ml. 19L + 39R
Bottle feeding,22/6/2017 22:45,,0:00,0.2 oz,Mom's milk,1
Bottle feeding,22/6/2017 22:32,,0:00,1.4 oz,Mom's milk,1.4
Diaper,22/6/2017 22:27,,0:00,Urine,,
Right breast,22/6/2017 22:06,22/6/2017 22:08,0:02,,,
Sleep,22/6/2017 21:41,22/6/2017 22:05,0:24,,,
Left breast,22/6/2017 21:36,22/6/2017 21:59,0:22,,,
Right breast,22/6/2017 20:57,22/6/2017 20:58,0:00,,,
Bottle feeding,22/6/2017 20:29,,0:00,1.5 oz,Mom's milk,
Sleep,22/6/2017 20:01,22/6/2017 20:20,0:19,,,
Bottle feeding,22/6/2017 19:52,,0:00,0.4 oz,,1.9
Diaper,22/6/2017 19:30,,0:00,"Urine, Feces",,
Bottle feeding,22/6/2017 19:20,,0:00,2.5 oz,Mom's milk,
Pumping,22/6/2017 19:05,,0:00,1.79 oz,,53 ml.  24L + 29R
Right breast,22/6/2017 18:42,22/6/2017 18:42,0:00,,,
Right breast,22/6/2017 18:37,22/6/2017 18:37,0:00,,,
Left breast,22/6/2017 18:22,22/6/2017 18:29,0:04,,,
Sleep,22/6/2017 17:01,22/6/2017 18:21,1:20,,,
Bottle feeding,22/6/2017 16:57,,0:00,0.9 oz,Mom's milk,
Diaper,22/6/2017 16:36,,0:00,"Urine, Feces",,
Pumping,22/6/2017 16:03,,0:00,1.96 oz,,58 ml. 33L + 25R
Bottle feeding,22/6/2017 15:25,,0:00,1.5 oz,Mom's milk,2.5
Left breast,22/6/2017 15:13,22/6/2017 15:18,0:03,,,
Diaper,22/6/2017 15:08,,0:00,Urine,,
Right breast,22/6/2017 15:01,22/6/2017 15:06,0:05,,,
Sleep,22/6/2017 12:34,22/6/2017 14:27,1:53,,,
Diaper,22/6/2017 12:11,,0:00,Urine,,
Diaper,22/6/2017 12:04,,0:00,Urine,,
Bottle feeding,22/6/2017 12:00,,0:00,2.0 oz,Mom's milk,2
Pumping,22/6/2017 11:36,,0:00,1.45 oz,,43 ml. 19L + 24R
Right breast,22/6/2017 11:27,22/6/2017 11:29,0:01,,,
Left breast,22/6/2017 11:20,22/6/2017 11:25,0:05,,,
Diaper,22/6/2017 11:14,,0:00,Urine,,
Bottle feeding,22/6/2017 11:05,,0:00,1.7 oz,Mom's milk,
Vaccination,22/6/2017 11:01,22/6/2017 11:02,0:01,,,
Pumping,22/6/2017 08:46,,0:00,3.92 oz,,116 ml. 61L + 55R
Sleep,22/6/2017 08:43,22/6/2017 10:53,2:15,,,
Sleep,22/6/2017 08:39,,0:00,,,
Bottle feeding,22/6/2017 08:23,,0:00,0.8 oz,Mom's milk,2.5
Diaper,22/6/2017 08:17,,0:00,Urine,,
Bottle feeding,22/6/2017 08:03,,0:00,1.7 oz,Mom's milk,
Sleep,22/6/2017 03:45,22/6/2017 08:00,4:15,,,
Bottle feeding,22/6/2017 03:30,,0:00,1.8 oz,Mom's milk,3.5
Diaper,22/6/2017 03:26,,0:00,Urine,,
Pumping,22/6/2017 03:24,,0:00,3.08 oz,,91 ml. 47L + 44R
Bottle feeding,22/6/2017 03:20,,0:00,1.2 oz,Mom's milk,
Sleep,21/6/2017 22:32,22/6/2017 03:13,4:41,,,
Pumping,21/6/2017 22:30,,0:00,1.89 oz,,56 ml. 31L + 25R
Sleep,21/6/2017 22:17,21/6/2017 22:30,0:12,,,
Bottle feeding,21/6/2017 22:08,,0:00,0.3 oz,Mom's milk,1.5
Diaper,21/6/2017 22:00,,0:00,Urine,,
Sleep,21/6/2017 21:20,21/6/2017 21:45,0:25,,,
Bottle feeding,21/6/2017 21:09,,0:00,2.0 oz,Mom's milk,2
Right breast,21/6/2017 20:57,21/6/2017 21:04,0:06,,,
Vaccination,21/6/2017 20:49,21/6/2017 20:52,0:03,,,
Right breast,21/6/2017 19:57,21/6/2017 20:00,0:02,,,
Sleep,21/6/2017 19:40,21/6/2017 19:56,0:15,,,
Sleep,21/6/2017 19:38,,0:00,,,
Left breast,21/6/2017 19:35,,0:00,,,
Sleep,21/6/2017 19:32,,0:00,,,
Left breast,21/6/2017 19:32,21/6/2017 19:56,0:20,,,
Right breast,21/6/2017 19:29,21/6/2017 19:31,0:02,,,
Diaper,21/6/2017 19:18,,0:00,Urine,,
Bottle feeding,21/6/2017 18:30,,0:00,2.0 oz,Mom's milk,
Pumping,21/6/2017 17:52,,0:00,1.76 oz,,52 ml. 27L + 25R
Bottle feeding,21/6/2017 17:21,,0:00,0.4 oz,Mom's milk,2.4
Bottle feeding,21/6/2017 17:10,,0:00,1.0 oz,Mom's milk,
Right breast,21/6/2017 16:56,21/6/2017 17:06,0:07,,,
Vaccination,21/6/2017 16:53,21/6/2017 16:55,0:02,,,
Diaper,21/6/2017 16:40,,0:00,Urine,,
Left breast,21/6/2017 16:22,21/6/2017 16:35,0:07,,,
Sleep,21/6/2017 13:41,21/6/2017 16:19,2:38,,,
Sleep,21/6/2017 13:20,21/6/2017 13:34,0:14,,,
Diaper,21/6/2017 13:04,,0:00,"Urine, Feces",,
Bottle feeding,21/6/2017 12:42,,0:00,1.0 oz,Mom's milk,
Pumping,21/6/2017 12:08,,0:00,1.86 oz,,55 ml. 29L + 26R
Bottle feeding,21/6/2017 11:48,,0:00,1.1 oz,Mom's milk,3.1
Bottle feeding,21/6/2017 11:38,,0:00,1.2 oz,Mom's milk,
Right breast,21/6/2017 11:30,21/6/2017 11:33,0:02,,,
Diaper,21/6/2017 11:20,,0:00,Urine,,
Left breast,21/6/2017 11:17,21/6/2017 11:28,0:03,,,
Pumping,21/6/2017 08:53,,0:00,3.89 oz,,115 ml. 62L + 53R
Sleep,21/6/2017 08:50,21/6/2017 10:51,2:00,,,
Sleep,21/6/2017 08:43,,0:00,,,
Sleep,21/6/2017 08:39,,0:00,,,
Diaper,21/6/2017 08:08,,0:00,Urine,,
Bottle feeding,21/6/2017 07:57,,0:00,1.8 oz,Mom's milk,3
Bottle feeding,21/6/2017 07:50,,0:00,1.6 oz,Mom's milk,
Sleep,21/6/2017 04:20,21/6/2017 07:45,3:25,,,
Diaper,21/6/2017 03:55,,0:00,Urine,,
Pumping,21/6/2017 03:47,,0:00,3.14 oz,,93 ml. 47L + 46R
Bottle feeding,21/6/2017 03:45,,0:00,0.9 oz,Mom's milk,2.5
Bottle feeding,21/6/2017 03:40,,0:00,1.5 oz,Mom's milk,
Pumping,20/6/2017 22:28,,0:00,1.5 oz,,45 ml. 24L + 21R
Sleep,20/6/2017 22:10,21/6/2017 03:35,5:24,,,
Bottle feeding,20/6/2017 22:09,,0:00,,Mom's milk,1.5
Bottle feeding,20/6/2017 21:50,,0:00,,Mom's milk,
Sleep,20/6/2017 21:44,,0:00,,,
Sleep,20/6/2017 21:44,,0:00,,,
Diaper,20/6/2017 21:36,,0:00,Urine,,
Bottle feeding,20/6/2017 21:10,,0:00,2.2 oz,Mom's milk,
Right breast,20/6/2017 21:04,20/6/2017 21:06,0:02,,,
Left breast,20/6/2017 21:03,20/6/2017 21:04,0:01,,,
Left breast,20/6/2017 20:45,20/6/2017 20:45,0:00,,,
Right breast,20/6/2017 20:44,20/6/2017 20:44,0:00,,,
Left breast,20/6/2017 20:32,20/6/2017 20:38,0:04,,,
Right breast,20/6/2017 20:26,20/6/2017 20:31,0:04,,,
Bottle feeding,20/6/2017 20:22,,0:00,0.6 oz,Mom's milk,
Sleep,20/6/2017 19:50,20/6/2017 20:19,0:29,,,
Bottle feeding,20/6/2017 19:25,,0:00,1.4 oz,Mom's milk,2
Pumping,20/6/2017 19:02,,0:00,1.25 oz,,37 ml.  22L + 15R
Bottle feeding,20/6/2017 19:00,,0:00,0.7 oz,Mom's milk,
Left breast,20/6/2017 18:49,20/6/2017 18:53,0:04,,,
Diaper,20/6/2017 18:40,,0:00,"Urine, Feces",,
Right breast,20/6/2017 18:28,20/6/2017 18:35,0:06,,,
Right breast,20/6/2017 18:28,,0:00,,,
Sleep,20/6/2017 17:28,20/6/2017 18:11,0:42,,,
Bottle feeding,20/6/2017 16:50,,0:00,1.3 oz,Mom's milk,
Diaper,20/6/2017 16:38,,0:00,Urine,,
Bottle feeding,20/6/2017 15:42,,0:00,,Mom's milk,2
Bottle feeding,20/6/2017 15:16,,0:00,1.9 oz,Mom's milk,
Pumping,20/6/2017 14:55,,0:00,1.22 oz,,36 ml. 16L + 20R
Right breast,20/6/2017 14:43,20/6/2017 14:48,0:04,,,
Diaper,20/6/2017 14:38,,0:00,Urine,,
Left breast,20/6/2017 14:21,20/6/2017 14:38,0:16,,,
Sleep,20/6/2017 11:37,20/6/2017 14:20,2:43,,,
Bottle feeding,20/6/2017 11:33,,0:00,,Mom's milk,
Pumping,20/6/2017 11:09,,0:00,1.5 oz,,45 ml. 25L + 20R
Bottle feeding,20/6/2017 10:53,,0:00,1.1 oz,Mom's milk,3
Right breast,20/6/2017 10:39,20/6/2017 10:46,0:07,,,
Diaper,20/6/2017 10:30,,0:00,Urine,,
Left breast,20/6/2017 10:18,20/6/2017 10:30,0:06,,,
Vaccination,20/6/2017 10:10,20/6/2017 10:12,0:01,,,
Pumping,20/6/2017 07:24,,0:00,5.11 oz,,151 ml. 76L + 75R
Sleep,20/6/2017 07:18,20/6/2017 09:57,2:39,,,
Diaper,20/6/2017 06:45,,0:00,Urine,,
Bottle feeding,20/6/2017 06:31,,0:00,4.0 oz,Mom's milk,
Sleep,19/6/2017 23:13,20/6/2017 06:21,7:08,,,
Diaper,19/6/2017 22:50,,0:00,Urine,,
Pumping,19/6/2017 22:46,,0:00,1.42 oz,,42 ml. 16L + 26R
Bottle feeding,19/6/2017 22:45,,0:00,0.9 oz,Mom's milk,1
Bottle feeding,19/6/2017 22:34,,0:00,1.9 oz,Formula milk,2
Left breast,19/6/2017 21:38,19/6/2017 22:02,0:15,,,
Sleep,19/6/2017 21:18,19/6/2017 21:38,0:19,,,
Right breast,19/6/2017 21:16,19/6/2017 21:37,0:21,,,sleep eating after 2
Diaper,19/6/2017 20:10,,0:00,"Urine, Feces",,
Bottle feeding,19/6/2017 19:41,,0:00,2.0 oz,Formula milk,2.5
Pumping,19/6/2017 19:28,,0:00,1.18 oz,,35 ml. 18L + 17R
Right breast,19/6/2017 19:11,19/6/2017 19:19,0:07,,,35 ml. 18L + 17R
Left breast,19/6/2017 19:00,19/6/2017 19:09,0:08,,,
Diaper,19/6/2017 18:55,,0:00,Urine,,
Right breast,19/6/2017 18:32,19/6/2017 18:37,0:04,,,
Sleep,19/6/2017 15:37,19/6/2017 18:12,2:35,,,
Left breast,19/6/2017 15:30,19/6/2017 15:47,0:15,,,sleep eating after 5
Right breast,19/6/2017 15:21,19/6/2017 15:27,0:05,,,
Diaper,19/6/2017 14:31,,0:00,Urine,,
Sleep,19/6/2017 13:58,19/6/2017 14:29,0:30,,,
Bottle feeding,19/6/2017 13:49,,0:00,2.1 oz,Formula milk,2.1
Sleep,19/6/2017 13:27,19/6/2017 13:39,0:06,,,
Left breast,19/6/2017 13:25,19/6/2017 13:32,0:06,,,
Right breast,19/6/2017 13:22,19/6/2017 13:25,0:03,,,
Pumping,19/6/2017 12:59,,0:00,1.35 oz,,40 ml. 15L + 25R
Right breast,19/6/2017 12:45,19/6/2017 12:47,0:00,,,
Diaper,19/6/2017 12:30,,0:00,Urine,,
Left breast,19/6/2017 12:27,19/6/2017 12:43,0:04,,,
Right breast,19/6/2017 12:17,19/6/2017 12:26,0:07,,,
Left breast,19/6/2017 12:00,19/6/2017 12:06,0:06,,,
Left breast,19/6/2017 11:59,,0:00,,,
Sleep,19/6/2017 09:57,19/6/2017 11:54,1:56,,,
Sleep,19/6/2017 09:54,,0:00,,,
Diaper,19/6/2017 09:40,,0:00,Urine,,
Bottle feeding,19/6/2017 09:06,,0:00,2.2 oz,Formula milk,3
Bottle feeding,19/6/2017 09:01,,0:00,0.7 oz,Mom's milk,
Pumping,19/6/2017 08:37,,0:00,3.11 oz,,92 ml. 49L + 43R
Sleep,19/6/2017 04:50,19/6/2017 08:50,4:00,,,
Diaper,19/6/2017 04:45,,0:00,Urine,,
Pumping,19/6/2017 04:27,,0:00,4.0 oz,,120 ml. 61L + 59R
Bottle feeding,19/6/2017 04:23,,0:00,3.3 oz,Mom's milk,4
Sleep,18/6/2017 22:56,19/6/2017 04:17,5:20,,,
Sleep,18/6/2017 22:51,,0:00,,,
Diaper,18/6/2017 22:26,,0:00,"Urine, Feces",,
Pumping,18/6/2017 22:14,,0:00,2.13 oz,,63 ml. 35L + 28R
Bottle feeding,18/6/2017 21:55,,0:00,3.0 oz,Formula milk,3
Right breast,18/6/2017 20:52,18/6/2017 21:07,0:15,,,sleep eating after 4
Left breast,18/6/2017 20:36,18/6/2017 20:51,0:15,,,sleep eating after 4
Sleep,18/6/2017 20:04,18/6/2017 20:33,0:29,,,
Sleep,18/6/2017 20:03,,0:00,,,
Sleep,18/6/2017 19:49,18/6/2017 20:00,0:06,,,
Sleep,18/6/2017 19:15,18/6/2017 19:35,0:20,,,
Bottle feeding,18/6/2017 19:03,,0:00,1.1 oz,Formula milk,1.5
Bottle feeding,18/6/2017 18:40,,0:00,2.6 oz,Formula milk,2.6
Diaper,18/6/2017 18:25,,0:00,Urine,,
Pumping,18/6/2017 18:14,,0:00,1.62 oz,,"48 ml.  28L + 20R.  (Min 2.5, 11)"
Sleep,18/6/2017 18:00,18/6/2017 18:21,0:21,,,
Right breast,18/6/2017 17:54,18/6/2017 18:10,0:15,,,sleep eating after 5
Sleep,18/6/2017 17:26,18/6/2017 17:37,0:11,,,
Left breast,18/6/2017 17:22,18/6/2017 17:37,0:15,,,sleepy eating after 4
Sleep,18/6/2017 15:40,18/6/2017 16:24,0:44,,,
Diaper,18/6/2017 15:15,,0:00,"Urine, Feces",,
Bottle feeding,18/6/2017 15:00,,0:00,2.0 oz,Formula milk,2.1
Right breast,18/6/2017 14:23,18/6/2017 14:29,0:06,,,
Left breast,18/6/2017 14:07,18/6/2017 14:14,0:07,,,
Sleep,18/6/2017 13:30,18/6/2017 13:54,0:24,,,
Sleep,18/6/2017 13:23,,0:00,,,
Sleep,18/6/2017 13:00,18/6/2017 13:19,0:19,,,
Diaper,18/6/2017 12:40,,0:00,Urine,,
Pumping,18/6/2017 12:09,,0:00,1.42 oz,,42 ml. 27L + 15R
Bottle feeding,18/6/2017 11:46,,0:00,1.2 oz,Formula milk,3
